time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T00:00,48.2,98,0.000,4.7,188,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T01:00,48.0,98,0.000,5.1,182,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T02:00,47.6,99,0.000,5.6,182,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T03:00,47.6,99,0.000,5.6,180,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T04:00,48.0,98,0.004,4.8,169,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T05:00,48.4,99,0.000,6.9,155,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T06:00,49.1,99,0.035,6.5,166,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T07:00,49.2,100,0.031,6.9,167,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T08:00,49.0,100,0.083,2.9,184,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T09:00,50.4,100,0.031,3.7,166,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T10:00,52.0,100,0.016,7.9,170,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T11:00,52.8,100,0.024,8.5,203,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T12:00,53.0,100,0.024,8.0,218,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T13:00,53.4,100,0.016,8.7,215,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T14:00,53.7,100,0.028,6.5,236,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T15:00,54.1,100,0.020,6.7,240,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T16:00,53.8,100,0.016,6.3,222,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T17:00,53.3,100,0.008,5.1,232,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T18:00,51.3,100,0.020,3.4,274,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T19:00,50.8,100,0.043,0.8,56,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T20:00,50.1,100,0.043,0.8,124,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T21:00,51.9,100,0.059,3.9,103,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T22:00,52.0,100,0.035,5.4,97,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-01T23:00,51.8,100,0.091,6.5,76,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T00:00,50.9,100,0.213,8.6,65,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T01:00,49.8,100,0.437,7.3,40,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T02:00,52.3,97,0.154,18.3,112,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T03:00,51.6,97,0.000,1.7,337,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T04:00,48.9,100,0.012,7.9,355,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T05:00,48.6,100,0.004,6.1,356,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T06:00,49.0,100,0.008,2.9,309,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T07:00,48.3,100,0.000,1.7,247,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T08:00,50.1,99,0.000,2.1,319,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T09:00,49.8,100,0.000,2.1,238,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T10:00,50.5,100,0.000,4.0,251,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T11:00,51.8,99,0.000,5.7,239,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T12:00,52.6,99,0.000,8.2,253,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T13:00,52.8,99,0.000,7.9,254,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T14:00,54.2,97,0.000,11.0,265,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T15:00,51.7,95,0.012,10.1,317,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T16:00,48.5,94,0.000,8.5,297,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T17:00,48.2,88,0.000,10.9,314,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T18:00,47.3,83,0.000,10.6,316,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T19:00,45.4,82,0.000,9.4,327,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T20:00,45.0,88,0.000,11.7,324,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T21:00,42.1,90,0.004,13.0,348,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T22:00,39.5,77,0.000,12.4,352,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-02T23:00,38.0,70,0.000,12.5,358,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T00:00,36.9,66,0.000,12.6,355,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T01:00,35.7,62,0.000,10.4,350,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T02:00,34.2,62,0.000,11.8,346,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T03:00,32.8,62,0.000,11.1,351,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T04:00,31.9,61,0.000,10.5,1,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T05:00,30.8,58,0.000,11.0,2,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T06:00,29.9,57,0.000,11.2,12,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T07:00,29.6,54,0.000,11.5,8,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T08:00,30.3,49,0.004,13.0,359,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T09:00,29.9,47,0.000,13.0,4,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T10:00,29.8,46,0.000,12.1,11,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
2022-01-03T11:00,29.0,47,0.004,14.0,8,40.878735,-73.357025,24.0,-14400,America/New_York,EDT
